"id:ID","year:int",":LABEL"
"volume_journal_coap_43","2009","Volume"
"volume_journal_isf_18","2016","Volume"
"volume_journal_sigir_32","1998","Volume"
"volume_journal_tnn_16","2005","Volume"
"volume_journal_tnn_34","2023","Volume"
"volume_journal_tnn_35","2024","Volume"
"volume_journal_oir_38","2014","Volume"
"volume_journal_ojcs_5","2024","Volume"
"volume_journal_taslp_13","2005","Volume"
"volume_journal_ejasp_2012","2012","Volume"
"volume_journal_tmc_17","2018","Volume"
"volume_journal_remotesensing_11","2019","Volume"
"volume_journal_remotesensing_5","2013","Volume"
"volume_journal_remotesensing_15","2023","Volume"
"volume_journal_remotesensing_14","2022","Volume"
"volume_journal_jcisd_61","2021","Volume"
"volume_journal_jcisd_62","2022","Volume"
"volume_journal_kbs_235","2022","Volume"
"volume_journal_kbs_137","2017","Volume"
"volume_journal_kbs_70","2014","Volume"
"volume_journal_cphysics_309","2025","Volume"
"volume_journal_jfi_355","2018","Volume"
"volume_journal_sigapl_24","1993","Volume"
"volume_journal_jss_81","2008","Volume"
"volume_journal_jilt_5","2014","Volume"
"volume_journal_ijisec_22","2023","Volume"
"volume_journal_ijisec_21","2022","Volume"
"volume_journal_npjdm_3","2020","Volume"
"volume_journal_tip_32","2023","Volume"
"volume_journal_computers_13","2024","Volume"
"volume_journal_ar_34","2020","Volume"
"volume_journal_urbaninformatics_1","2022","Volume"
"volume_journal_csur_56","2024","Volume"
"volume_journal_wicomm_12","2012","Volume"
"volume_journal_orgsci_23","2012","Volume"
"volume_journal_jmis_22","2006","Volume"
"volume_journal_prl_184","2024","Volume"
"volume_journal_prl_185","2024","Volume"
"volume_journal_ijcisys_17","2024","Volume"
"volume_journal_ijcisys_16","2023","Volume"
"volume_journal_scp_5","1985","Volume"
"volume_journal_iepol_17","2005","Volume"
"volume_journal_ijscn_35","2017","Volume"
"volume_journal_ijscn_38","2020","Volume"
"volume_journal_ijscn_39","2021","Volume"
"volume_journal_tsp_53","2005","Volume"
"volume_journal_itiis_17","2023","Volume"
"volume_journal_iet-ipr_12","2018","Volume"
"volume_journal_firstmonday_11","2006","Volume"
"volume_journal_firstmonday_24","2019","Volume"
"volume_journal_giq_18","2001","Volume"
"volume_journal_fgcs_9","1993","Volume"
"volume_journal_toms_7","1981","Volume"
"volume_journal_information_12","2021","Volume"
"volume_journal_information_10","2019","Volume"
"volume_journal_tcs_132","1994","Volume"
"volume_journal_cbsn_10","2007","Volume"
"volume_journal_cbsn_19","2016","Volume"
"volume_journal_jikm_15","2016","Volume"
"volume_journal_ipl_53","1995","Volume"
"volume_journal_jdi_30","2017","Volume"
"volume_journal_smr_25","2013","Volume"
"volume_journal_smr_31","2019","Volume"
"volume_journal_smr_26","2014","Volume"
"volume_journal_cstat_27","2012","Volume"
"volume_journal_iam_59","2022","Volume"
"volume_journal_spic_81","2020","Volume"
"volume_journal_vlsisp_92","2020","Volume"
"volume_journal_ife_13","1998","Volume"
"volume_journal_jbcb_3","2005","Volume"
"volume_journal_jmrr_9","2024","Volume"
"volume_journal_jois_24","2015","Volume"
"volume_journal_cg_18","1994","Volume"
"volume_journal_icl_17","2013","Volume"
"volume_journal_jasis_68","2017","Volume"
"volume_journal_ijhci_40","2024","Volume"
"volume_journal_jct_132","2018","Volume"
"volume_journal_jct_99","2009","Volume"
"volume_journal_nn_11","1998","Volume"
"volume_journal_nn_62","2015","Volume"
"volume_journal_tasm_43","2024","Volume"
"volume_journal_jcc_28","2007","Volume"
"volume_journal_rdlj_23","2020","Volume"
"volume_journal_jr_2021","2021","Volume"
"volume_journal_ijmms_109","2018","Volume"
"volume_journal_ijmms_9","1977","Volume"
"volume_journal_ijmms_52","2000","Volume"
"volume_journal_et_39","2023","Volume"
"volume_journal_quantum_7","2023","Volume"
"volume_journal_wpc_92","2017","Volume"
"volume_journal_cviu_72","1998","Volume"
"volume_journal_jscic_80","2019","Volume"
"volume_journal_robotica_13","1995","Volume"
"volume_journal_twc_22","2023","Volume"
"volume_journal_twc_12","2013","Volume"
"volume_journal_twc_10","2011","Volume"
"volume_journal_pvldb_12","2019","Volume"
"volume_journal_mr_86","2018","Volume"
"volume_journal_cacm_55","2012","Volume"
"volume_journal_cj_38","1995","Volume"
"volume_journal_cj_28","1985","Volume"
"volume_journal_frai_6","2023","Volume"
"volume_journal_ijdet_6","2008","Volume"
"volume_journal_jfr_40","2023","Volume"
"volume_journal_mis_2021","2021","Volume"
"volume_journal_vc_26","2010","Volume"
"volume_journal_ijcse_18","2019","Volume"
"volume_journal_crl_82","2021","Volume"
"volume_journal_amai_62","2011","Volume"
"volume_journal_chk_24","2017","Volume"
"volume_journal_jds_29","2020","Volume"
"volume_journal_entropy_25","2023","Volume"
"volume_journal_entropy_20","2018","Volume"
"volume_journal_entropy_22","2020","Volume"
"volume_journal_symmetry_15","2023","Volume"
"volume_journal_symmetry_13","2021","Volume"
"volume_journal_symmetry_11","2019","Volume"
"volume_journal_jvcir_38","2016","Volume"
"volume_journal_jvcir_25","2014","Volume"
"volume_journal_nca_33","2021","Volume"
"volume_journal_orl_30","2002","Volume"
"volume_journal_orl_22","1998","Volume"
"volume_journal_scl_62","2013","Volume"
"volume_journal_sensors_19","2019","Volume"
"volume_journal_sensors_21","2021","Volume"
"volume_journal_patterns_2","2021","Volume"
"volume_journal_kybernetika_46","2010","Volume"
"volume_journal_kybernetika_27","1991","Volume"
"volume_journal_jossw_3","2018","Volume"
"volume_journal_intpolrev_8","2019","Volume"
"volume_journal_chinaf_67","2024","Volume"
"volume_journal_peerj-cs_10","2024","Volume"
"volume_journal_tcom_39","1991","Volume"
"volume_journal_tgrs_57","2019","Volume"
"volume_journal_tgrs_49","2011","Volume"
"volume_journal_tgrs_61","2023","Volume"
"volume_journal_ijac_24","2014","Volume"
"volume_journal_jco_3","1999","Volume"
"volume_journal_cbm_149","2022","Volume"
"volume_journal_cbm_108","2019","Volume"
"volume_journal_jcit_4","2009","Volume"
"volume_journal_tase_21","2024","Volume"
"volume_journal_ajc_67","2017","Volume"
"volume_journal_imt_2","2007","Volume"
"volume_journal_csda_53","2009","Volume"
"volume_journal_tac_45","2000","Volume"
"volume_journal_tac_58","2013","Volume"
"volume_journal_tac_68","2023","Volume"
"volume_journal_tim_74","2025","Volume"
"volume_journal_tim_54","2005","Volume"
"volume_journal_cce_28","2004","Volume"
"volume_journal_ijim_14","2020","Volume"
"volume_journal_ijim_10","2016","Volume"
"volume_journal_tele_57","2021","Volume"
"volume_journal_jips_19","2023","Volume"
"volume_journal_imds_117","2017","Volume"
"volume_journal_fuin_103","2010","Volume"
"volume_journal_cais_17","2006","Volume"
"volume_journal_imwut_6","2022","Volume"
"volume_journal_todaes_28","2023","Volume"
"volume_journal_spl_32","2025","Volume"
"volume_journal_eor_191","2008","Volume"
"volume_journal_eor_187","2008","Volume"
"volume_journal_cas_55","2024","Volume"
"volume_journal_ijfcs_20","2009","Volume"
"volume_journal_pr_47","2014","Volume"
"volume_journal_cys_14","2011","Volume"
"volume_journal_jkm_26","2022","Volume"
"volume_journal_lmcs_1","2005","Volume"
"volume_journal_jifs_29","2015","Volume"
"volume_journal_jcphy_356","2018","Volume"
"volume_journal_eInformatica_14","2020","Volume"
"volume_journal_iajit_1","2004","Volume"
"volume_journal_bmcbi_20","2019","Volume"
"volume_journal_access_10","2022","Volume"
"volume_journal_access_11","2023","Volume"
"volume_journal_access_7","2019","Volume"
"volume_journal_access_8","2020","Volume"
"volume_journal_access_9","2021","Volume"
"volume_journal_access_12","2024","Volume"
"volume_journal_ijon_72","2009","Volume"
"volume_journal_ijon_607","2024","Volume"
"volume_journal_itp_10","1997","Volume"
"volume_journal_itp_17","2004","Volume"
"volume_journal_tog_22","2003","Volume"
"volume_journal_tetc_9","2021","Volume"
"volume_journal_scn_2021","2021","Volume"
"volume_journal_siamma_50","2018","Volume"
"volume_journal_jcam_232","2009","Volume"
"volume_journal_ieicet_102-B","2019","Volume"
"volume_journal_ieicet_95-D","2012","Volume"
"volume_journal_ieicet_93-B","2010","Volume"
"volume_journal_ieicet_89-D","2006","Volume"
"volume_journal_adcm_46","2020","Volume"
"volume_journal_ai_128","2001","Volume"
"volume_journal_amc_346","2019","Volume"
"volume_journal_amc_219","2013","Volume"
"volume_journal_amc_438","2023","Volume"
"volume_journal_jsac_40","2022","Volume"
"volume_journal_aei_36","2018","Volume"
"volume_journal_aei_62","2024","Volume"
"volume_journal_tjs_81","2025","Volume"
"volume_journal_ijat_4","2010","Volume"
"volume_journal_tomacs_27","2017","Volume"
"volume_journal_jrm_36","2024","Volume"
"volume_journal_ieeesp_4","2006","Volume"
"volume_journal_tie_71","2024","Volume"
"volume_journal_oclc_27","2011","Volume"
"volume_journal_fss_157","2006","Volume"
"volume_journal_jcde_8","2021","Volume"
"volume_journal_iacr_2018","2018","Volume"
"volume_journal_pieee_87","1999","Volume"
"volume_journal_iotj_7","2020","Volume"
"volume_journal_iotj_10","2023","Volume"
"volume_journal_iotj_4","2017","Volume"
"volume_journal_ploscb_12","2016","Volume"
"volume_journal_scjapan_36","2005","Volume"
"volume_journal_micro_21","2001","Volume"
"volume_journal_tii_4","2008","Volume"
"volume_journal_fs_7","2003","Volume"
"volume_journal_ijcim_28","2015","Volume"
"volume_journal_topnoc_14","2019","Volume"
"volume_journal_ijmi_156","2021","Volume"
"volume_journal_na_43","2006","Volume"
"volume_journal_mktsci_30","2011","Volume"
"volume_journal_lre_37","2003","Volume"
"volume_journal_jors_73","2022","Volume"
"volume_journal_oms_23","2008","Volume"
"volume_journal_rfc_1454","1993","Volume"
"volume_journal_rfc_2757","2000","Volume"
"volume_journal_staeors_7","2014","Volume"
"volume_journal_tcns_9","2022","Volume"
"volume_journal_tit_36","1990","Volume"
"volume_journal_bc_85","2001","Volume"
"volume_journal_ram_20","2013","Volume"
"volume_journal_jasss_7","2004","Volume"
"volume_journal_siamsc_35","2013","Volume"
"volume_journal_ppna_7","2014","Volume"
"volume_journal_sivp_17","2023","Volume"
"volume_journal_arc_35","2011","Volume"
"volume_journal_eswa_185","2021","Volume"
"volume_journal_cssc_52","2023","Volume"
"volume_journal_csysl_8","2024","Volume"
"volume_journal_bioinformatics_39","2023","Volume"
"volume_journal_bioinformatics_23","2007","Volume"
"volume_journal_bioinformatics_31","2015","Volume"
"volume_journal_alr_25","2020","Volume"
"volume_journal_dam_345","2024","Volume"
"volume_journal_saem_5","2014","Volume"
"volume_journal_ior_48","2000","Volume"
"volume_journal_tcad_38","2019","Volume"
"volume_journal_tcad_31","2012","Volume"
"volume_journal_mta_76","2017","Volume"
"volume_journal_mta_82","2023","Volume"
"volume_journal_mta_80","2021","Volume"
"volume_journal_mta_81","2022","Volume"
"volume_journal_mta_75","2016","Volume"
"volume_journal_mta_77","2018","Volume"
"volume_journal_vldb_12","2003","Volume"
"volume_journal_cmpb_227","2022","Volume"
"volume_journal_cmpb_110","2013","Volume"
"volume_journal_dke_65","2008","Volume"
"volume_journal_dke_66","2008","Volume"
"volume_journal_combinatorics_28","2021","Volume"
"volume_journal_jcb_12","2005","Volume"
"volume_journal_displays_87","2025","Volume"
"volume_journal_urban_92","2022","Volume"
"volume_journal_jaihc_13","2022","Volume"
"volume_journal_dm_347","2024","Volume"
"volume_journal_dm_33","1981","Volume"
"volume_journal_lgrs_21","2024","Volume"
"volume_journal_jpdc_72","2012","Volume"
"volume_journal_jpdc_66","2006","Volume"
"volume_journal_mcss_1","1988","Volume"
"volume_journal_jcsc_28","2019","Volume"
"volume_journal_kais_65","2023","Volume"
"volume_journal_tits_24","2023","Volume"
"volume_journal_tits_23","2022","Volume"
"volume_journal_isci_197","2012","Volume"
"volume_journal_isci_144","2002","Volume"
"volume_journal_tce_46","2000","Volume"
"volume_journal_jsis_21","2012","Volume"
"volume_journal_cma_58","2009","Volume"
"volume_journal_cma_59","2010","Volume"
"volume_journal_istr_19","2014","Volume"
"volume_journal_cnsns_131","2024","Volume"
"volume_journal_tcas_56-I","2009","Volume"
"volume_journal_bspc_80","2023","Volume"
"volume_journal_cea_189","2021","Volume"
"volume_journal_cea_195","2022","Volume"
"volume_journal_it_30","1988","Volume"
"volume_journal_wc_26","2019","Volume"
"volume_journal_wc_9","2002","Volume"
"volume_journal_complexity_2022","2022","Volume"
"volume_journal_dcg_49","2013","Volume"
"volume_journal_sigarch_16","1988","Volume"
"volume_journal_corr_abs/1808.10476","2018","Volume"
"volume_journal_corr_abs/1301.2258","2013","Volume"
"volume_journal_corr_abs/1609.01977","2016","Volume"
"volume_journal_corr_abs/2202.09935","2022","Volume"
"volume_journal_corr_abs/2409.05385","2024","Volume"
"volume_journal_corr_abs/2212.09314","2022","Volume"
"volume_journal_corr_abs/2304.04217","2023","Volume"
"volume_journal_corr_abs/2007.08777","2020","Volume"
"volume_journal_corr_abs/2501.10768","2025","Volume"
"volume_journal_corr_abs/2401.03257","2024","Volume"
"volume_journal_corr_abs/2401.05709","2024","Volume"
"volume_journal_corr_abs/2412.20993","2024","Volume"
"volume_journal_corr_abs/2110.03726","2021","Volume"
"volume_journal_corr_abs/0911.2974","2009","Volume"
"volume_journal_corr_abs/2410.01658","2024","Volume"
"volume_journal_corr_abs/1708.05347","2017","Volume"
"volume_journal_corr_abs/2207.00048","2022","Volume"
"volume_journal_corr_abs/2502.03321","2025","Volume"
"volume_journal_corr_abs/2105.09481","2021","Volume"
"volume_journal_corr_abs/1509.06332","2015","Volume"
"volume_journal_corr_abs/2312.08976","2023","Volume"
"volume_journal_corr_abs/1003.0659","2010","Volume"
"volume_journal_corr_abs/2212.06561","2022","Volume"
"volume_journal_corr_abs/1212.6810","2012","Volume"
"volume_journal_corr_abs/2501.12851","2025","Volume"
"volume_journal_corr_abs/1801.00880","2018","Volume"
"volume_journal_corr_abs/2001.04042","2020","Volume"
"volume_journal_corr_abs/2204.11575","2022","Volume"
"volume_journal_corr_abs/2308.11651","2023","Volume"
"volume_journal_corr_abs/2005.09927","2020","Volume"
"volume_journal_corr_abs/2412.17099","2024","Volume"
"volume_journal_corr_abs/0804.3361","2008","Volume"
"volume_journal_corr_abs/1811.09620","2018","Volume"
"volume_journal_corr_abs/2307.00735","2023","Volume"
"volume_journal_corr_abs/2204.09268","2022","Volume"
"volume_journal_corr_abs/1802.02049","2018","Volume"
"volume_journal_corr_abs/1010.3685","2010","Volume"
"volume_journal_corr_abs/cs/0412007","2004","Volume"
"volume_journal_corr_abs/1906.06620","2019","Volume"
"volume_journal_corr_abs/2411.06202","2024","Volume"
"volume_journal_corr_abs/2206.13602","2022","Volume"
"volume_journal_corr_abs/2303.12756","2023","Volume"
"volume_journal_corr_abs/1302.3946","2013","Volume"
"volume_journal_corr_abs/1509.06983","2015","Volume"
"volume_journal_corr_abs/2408.09065","2024","Volume"
"volume_journal_corr_abs/1612.08515","2016","Volume"
"volume_journal_corr_abs/2002.03731","2020","Volume"
"volume_journal_corr_abs/2305.02397","2023","Volume"
"volume_journal_corr_abs/2112.00588","2021","Volume"
"volume_journal_corr_abs/0906.3527","2009","Volume"
"volume_journal_corr_abs/2007.06371","2020","Volume"
"volume_journal_corr_abs/1805.03642","2018","Volume"
"volume_journal_corr_abs/2402.08299","2024","Volume"
"volume_journal_corr_abs/2407.02348","2024","Volume"
"volume_journal_corr_abs/2005.13996","2020","Volume"
"volume_journal_corr_abs/1810.06519","2018","Volume"
"volume_journal_corr_abs/2406.06972","2024","Volume"
"volume_journal_corr_abs/1506.03363","2015","Volume"
"volume_journal_corr_abs/2311.18825","2023","Volume"
"volume_journal_corr_abs/2003.06880","2020","Volume"
"volume_journal_corr_abs/1008.1427","2010","Volume"
"volume_journal_corr_abs/2004.05838","2020","Volume"
"volume_journal_corr_abs/1907.03246","2019","Volume"
"volume_journal_corr_abs/2002.02881","2020","Volume"
"volume_journal_corr_abs/1910.12908","2019","Volume"
"volume_journal_corr_abs/1708.02337","2017","Volume"
"volume_journal_corr_abs/1403.0315","2014","Volume"
"volume_journal_corr_abs/2006.07057","2020","Volume"
"volume_journal_corr_abs/2004.08546","2020","Volume"
"volume_journal_corr_abs/1911.06476","2019","Volume"
"volume_journal_corr_abs/2111.05294","2021","Volume"
"volume_journal_corr_abs/2311.09559","2023","Volume"
"volume_journal_corr_abs/2407.14192","2024","Volume"
"volume_journal_corr_abs/2109.01652","2021","Volume"
"volume_journal_corr_abs/2308.09360","2023","Volume"
"volume_journal_corr_abs/1206.3136","2012","Volume"
"volume_journal_ijdsa_14","2022","Volume"
"volume_journal_ngc_13","1995","Volume"
